record_id,run_id,dictionary_version,tagset_version,export_version,timestamp_iso,coder_id,coder_action,igo,attribute_code,attribute_label,indicator_id,indicator_label,doc_family_inferred,evidence_tier,source_type,source_year,source_lang,article_section_page,page_in_pdf,source_uri,coded_value,decision_rationale,review_note,quoted_or_paraphrased,instrument_title,instrument_type,trace_key,retrieval_set,coder_action_std,attribute_code_final,tfidf_cosine,source_title_char_count,source_title_word_count,source_title_sha256,source_excerpt_char_count,source_excerpt_word_count,source_excerpt_sha256,matrix_cell_text_char_count,matrix_cell_text_word_count,matrix_cell_text_sha256,excerpt_full_char_count,excerpt_full_word_count,excerpt_full_sha256,public_text_fields_included,public_release_note
TLF-V6-000011,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-09T12:08:03Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),SMJ,Subject Matter Jurisdiction,IND_SMJ_DOMAIN,Issue domains and functions within remit,External/website,Substantiation/References,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.fao.org/3/ac621e/ac621e03.htm),status=accepted; attribute=SMJ; indicator=SMJ_domain,Accepted as best available evidence within tiered source hierarchy.,"External portal evidence: subject-matter scope identified (Not specified (see narrative/citations in cell text)); coded under SMJ (fisheries/aquaculture), not as a governance theme.",—,—,—,ed555d98203db4d3aacddd21ad584d7e2a020ee6,attributes,ACCEPT,SMJ,0.015581526173351883,13,1,352a18b14cec579aeb732030fc81c50b550a9462a9838b9fcb247935157eed48,358,50,1f4eeb17890fc6c56bf4657e8ca4108831256eed4e0b2d2b7c6cc00f097e3039,454,58,c479bd4f55fd8e0d7afd90904f6ac24bf1584f201783da19eead6ac849f3fc70,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000012,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-10T07:38:51Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),SoJ,Source of Jurisdiction,IND_SOJ_LEGAL,Enabling legal instrument and mandate clauses,Foundational legal instrument,Substantiation/References,Agreement,—,EN,Not specified (see narrative/citations in cell text),—,https://www.fao.org/3/k8024e/k8024e.pdf).,status=accepted; attribute=SoJ; indicator=SoJ_article,Meets indicator definition; provenance captured for reconstruction.,Founding instrument evidence: legal basis clause captured (Not specified (see narrative/citations in cell text)); coded as SoJ with citation anchor where available.,—,—,—,735d2571eec0d1623f6afaf2761ccbb98dd382a3,attributes,ACCEPT,SoJ,0.028121876849148054,31,4,028a4a03c086975cde4e54f408729736f3f490d78e6dd925e324d708d21008d0,390,50,b76caabb4630adb4c2697e43014a5302c8e8aaeb86da5cadb25b3f01fe094372,1112,133,6fd7cbcdc13343c307046afc3c17b089a8981e4a85c0d135158eb578ee9efbf8,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000013,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-11T03:09:40Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),DO,Defined Objectives,IND_DO_OBJECTIVES,Stated objectives/purpose and institutional goals,Foundational legal instrument,Substantiation/References,Constitution,—,EN,Article 1,—,https://www.fao.org/3/k8024e/k8024e.pdf),status=accepted; attribute=DO; indicator=DO_purpose,Checked for construct fit; retained with source pointer.,Founding instrument evidence: goal language located (Article 1); retained for DO with provenance.,—,—,—,a99865de37b84499287515924c9767449e04c0eb,attributes,ACCEPT,DO,0.033872585899913446,175,20,f05ba9c2cb95693a92c20a49095a3974460814b36c976be761eb5961f51e65d4,392,49,bcdd9e1503da32bee03f209ab0738087cf60216db5a58ec8eff0f9a026b30822,920,114,acab1de6534940064cdd092bbbdd9d626c1b8c4e466dbe3dfe5ddbbe3404c06f,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000014,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-11T22:40:28Z,IA,Accept,Food and Agriculture Organization of the United Nations (FAO),STR,Strategies,IND_STR_INSTRUMENTS,Instrument families and strategy portfolio,External/website,Substantiation/References,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.fao.org/3/cb7099en/cb7099en.pdf).,status=accepted; attribute=STR; indicator=STR_family,Checked for construct fit; retained with source pointer.,External portal evidence: operational instrument referenced (Not specified (see narrative/citations in cell text)); coded as STR (mixed strategy references) for comparable scoring.,—,—,—,2e793c6e0fd4f5652d0006e168371d6849590683,attributes,ACCEPT,STR,0.0,14,1,e8fa420184394cfe892d967892429d08b0d414e6c3ab9b2450b1d82ce812164c,384,50,403b68cd9f55fc689a039e4ec843abecaab67b79c24673eeba3f6e0080f1d926,1721,205,4325976c21c992cb7c5b4486a74026a8c9ef38e9f08b5ac9b22b5a2d35e75511,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000015,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-12T18:11:17Z,IA,Accept,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,YE,Year of Establishment,IND_YE_DATE,Formal establishment date (legal basis),Foundational legal instrument,Substantiation/References,Convention,—,EN,Not specified (see narrative/citations in cell text),—,—,status=accepted; attribute=YE; indicator=YE_date,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: establishment year captured (Not specified (see narrative/citations in cell text)); value standardised for matrix cell.,—,—,—,1d87f22ec24044a55eb1ceb697e3204356d94bb0,attributes,ACCEPT,YE,0.0,70,8,92265cab965c1674dbdf047c477e163ce4b2547f4e2a500325f7d7a72f15f9d2,6,1,d9405a94895c1edd6ffdf20fa707f7c250df7ce3a31423c22c4e52333bd42a24,6,1,d9405a94895c1edd6ffdf20fa707f7c250df7ce3a31423c22c4e52333bd42a24,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000016,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-13T13:42:05Z,IA,Accept,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,SCL,Scale,IND_SCALE_GLOBAL,Global/near-global mandate scale,Foundational legal instrument,Substantiation/References,Convention,—,EN,Not specified (see narrative/citations in cell text),—,—,status=accepted; attribute=SCL; indicator=SCL_scale_gate,Relevant to indicator; retained after contextual read-through.,Founding instrument evidence: mandate reach documented (Not specified (see narrative/citations in cell text)); supports global-layer case definition.,—,—,—,6990ae5943d1b62e28e5925865bf0810aa702112,scale_gate,ACCEPT,SCL,0.27002604662797214,70,8,92265cab965c1674dbdf047c477e163ce4b2547f4e2a500325f7d7a72f15f9d2,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,6,1,a258b30f88c30650e73073d5bdde5cfcc6987100ae62d37789e5c46a0d85b7c6,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000017,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-14T09:12:53Z,IA,Accept,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,SJ,Spatial Jurisdiction,IND_SJ_SCOPE,Geographic scope and ABNJ/high-seas references,External/website,Substantiation/References,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,"https://www.imo.org/en/OurWork/TechnicalCooperation/Pages/Geo-Coverage.aspx#:~:text=Africa,Western%20Asia%20and%20Eastern%20Europe)",status=accepted; attribute=SJ; indicator=SJ_scope,Founding text silent/dated; operational evidence sourced from official portal.,External portal evidence: jurisdictional geography stated (Not specified (see narrative/citations in cell text)); retained for SJ substantiation.,—,—,—,6a1214af3964c0c0f025c232d1d8773dff97c4b7,attributes,ACCEPT,SJ,0.0,17,2,29afaa0d967b13bfb75334f4d75d1729339f2c47a86621bd7fdf7f815e30224a,419,40,0aa613a285a1165d190f321fb6035ead146737d2fd2b385dc68cd2488261e623,419,40,0aa613a285a1165d190f321fb6035ead146737d2fd2b385dc68cd2488261e623,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000018,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-15T04:43:42Z,IA,Accept,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,SMJ,Subject Matter Jurisdiction,IND_SMJ_DOMAIN,Issue domains and functions within remit,External/website,Substantiation/References,Unspecified (see source_title/source_uri),—,EN,Not specified (see narrative/citations in cell text),—,https://www.imo.org/en/About/Pages/Default.aspx).,status=accepted; attribute=SMJ; indicator=SMJ_domain,Checked for construct fit; retained with source pointer.,External portal evidence: SMJ coded as issue-domain descriptor (shipping/maritime) (Not specified (see narrative/citations in cell text)); separated from governance constructs.,—,—,—,e3090f73dca1b9f1c01585114d5e7516bdb36ac6,attributes,ACCEPT,SMJ,0.007776557197380341,14,1,4bd3613c1b3977487acd7a71fd0d6f9d238f9ab51f16ac7d584a84c91bf02323,465,50,744cc4741f20238f5b6b59a69ed983cbe709be69a6c6e0cb26dc4f34bbe311dd,1016,100,d0ce9cfde7dc8d9b8ed6902c428425e5cf4659566d227500e72732e51abd9503,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000019,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-16T00:14:30Z,IA,Accept,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,SoJ,Source of Jurisdiction,IND_SOJ_LEGAL,Enabling legal instrument and mandate clauses,Foundational legal instrument,Substantiation/References,Convention,—,EN,Article 1,—,https://treaties.un.org/doc/Publication/UNTS/Volume%201276/volume-1276-I-4214-English.pdf).,status=accepted; attribute=SoJ; indicator=SoJ_article,Relevant to indicator; retained after contextual read-through.,Founding instrument evidence: enabling authority identified (Article 1); retained as SoJ substantiation (avoid narrative mandate drift).,—,—,—,f082f5de9c7385f5cd2272649df18f6222bf2685,attributes,ACCEPT,SoJ,0.008000308098065907,231,33,3b32d083e831f27d8b282b7ffedd098d4b58765155e19d6bb2ae33a5fba4f9b3,410,50,26d88353852ec28142a6e1cf2673a78870d5991220c0096c5f7990426abaa951,1920,207,4c599d5629bb9124b84e75c3258a03dd9909a3588795aef41383d12dcd0a9ea8,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000020,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-16T19:45:18Z,IA,Accept,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,DO,Defined Objectives,IND_DO_OBJECTIVES,Stated objectives/purpose and institutional goals,Foundational legal instrument,Substantiation/References,Convention,—,EN,Article 1,—,https://treaties.un.org/doc/Publication/UNTS/Volume%201276/volume-1276-I-4214-English.pdf),status=accepted; attribute=DO; indicator=DO_purpose,Meets indicator definition; provenance captured for reconstruction.,Founding instrument evidence: objectives/mission statement captured (Article 1); retained for DO substantiation.,—,—,—,779dc717f967507a744d05f8ed5526e6693aa7c4,attributes,ACCEPT,DO,0.03168606544239116,278,37,5a6a85d80644ca0f661aa2d94b9e24d34dc8f2cf1200834891b3d3289d0f75dd,371,50,0f0392ff750a5c88cb5aad44e9b766402c7d9c46ac0862b9b28e8dd15169c195,1284,171,5dc3f80c6c656f7edf4839b2e94cad0a95598a813e2039b5638c344b538932df,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
TLF-V6-000021,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,traceability_v6_package,2024-11-17T15:16:07Z,IA,Accept,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,STR,Strategies,IND_STR_INSTRUMENTS,Instrument families and strategy portfolio,Foundational legal instrument,Substantiation/References,Resolution,—,EN,Not specified (see narrative/citations in cell text),—,"https://www.imo.org/en/MediaCentre/PressBriefings/pages/IMO-Assembly-adopts-budget,-strategic-plan.aspx).",status=accepted; attribute=STR; indicator=STR_family,Checked for construct fit; retained with source pointer.,Founding instrument evidence: strategy instrument evidence captured (Not specified (see narrative/citations in cell text)); classified to 'mixed strategy references' family for STR.,—,—,—,5dfee3580ed77650d4c8f188f976d96cc6fbfdf5,attributes,ACCEPT,STR,0.015737179606271818,12,2,84d0fdd960d05acf910e5f68a5d134ba38e6894e647bb8a307ac19981ffdcf25,325,50,49d66ab204a48be6f89a4b638e1681909d0cf0c32a312631fb5f12b0ac38e463,1763,212,aef8cdd1ec31ec22ac94194229b4130915997eb074933ea915d01b1b41098448,1,0,bda050585a00f0f6cb502350559d75532ae3b244c9498b996e7c5df2d98dfc8d,No,"Source-derived excerpts and duplicated narrative fields withheld; trace identifiers, decisions, source locators, and cryptographic hashes retained."
