archive_path,source_name,stage,data_product,description,file_type,size_bytes,sha256
02_stage2_governance_theme_dataset/code/run_stage2_pipeline.py,run_stage2_pipeline.py,Stage 2,Governance Theme Dataset,"Stage 2 Python script used for retrieval, expansion, and diagnostics.",py,15248,e7530511bc185259e7c7d13828fd92310f25e2ae95dcfa834befd7703282e228
02_stage2_governance_theme_dataset/code/run_stage2_pipeline_full.py,run_stage2_pipeline_full.py,Stage 2,Governance Theme Dataset,"Stage 2 Python script used for retrieval, expansion, and diagnostics.",py,36319,54f97a98e1c992b7b7769d13dd429e8bd91cc9e8ad7dfa34bdf132ab5547ea1b
02_stage2_governance_theme_dataset/environment/requirements.txt,requirements.txt,Stage 2,Governance Theme Dataset,Stage 2 software/environment requirement file.,txt,70,52e64f1c832f8b757f0d3e28811eead215a1a5bd44b22c00adeb5dab527e19fc
02_stage2_governance_theme_dataset/figures/Figure_3_3_Stage2_Workflow_Python_v2.png,Figure_3_3_Stage2_Workflow_Python_v2.png,Stage 2,Governance Theme Dataset,Stage 2 workflow or diagnostic figure.,png,497815,934f62b21bb4344f959712eaadd92c53b84cf7955cee5114a0d0e8ec73f9a1da
02_stage2_governance_theme_dataset/tables/Stage2_Audit_Trail.csv,audit_trail.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,2420,3491553133ff9b350d8c262df6046f0bcbda9b696c0414156846d7ad2a79fcc7
02_stage2_governance_theme_dataset/tables/Stage2_Corpus_Manifest.csv,corpus_manifest.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,40503,3385ea8ac89b537f87e1b06b8e5d78f3ebaa0ca34fd2c980cc13ae748cd18eba
02_stage2_governance_theme_dataset/tables/Stage2_First_Order_Theme_Inventory_80.csv,stage2_first_order_theme_inventory_80.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,22894,fba935e97e7e7971b900f114eb8eb2e581abe632d85152b160d8f916c7bfaf06
02_stage2_governance_theme_dataset/tables/Stage2_FullCorpusPass2_Candidate_Review_Queue_Remaining.csv,stage2_fullcorpus_pass2_candidate_review_queue_remaining.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,9938866,23f5bb9a85e8185dff39d357b37b60a99d1071e387853157c3e70f416633f0e8
02_stage2_governance_theme_dataset/tables/Stage2_FullCorpusPass2_Decision_Template_Remaining.csv,stage2_fullcorpus_pass2_decision_template_remaining.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,10608684,872c196f38f7f602bf6f9bcdf8d9c71b2bd453ba6f0aa7da1967c7b90ecd4b80
02_stage2_governance_theme_dataset/tables/Stage2_PilotPass1_Candidate_Review_Queue.csv,stage2_pilot_pass1_candidate_review_queue.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,4430693,f956f52b3b8b61b7a03d43abacd0778c152abf2fd91d43520605f3e8b6bc9aa4
02_stage2_governance_theme_dataset/tables/Stage2_PilotPass1_Decision_Template.csv,stage2_pilot_pass1_decision_template.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,4657418,79d98c020538a0dac2624379240b59f3eb7ae598544a5caa8e433c9870b6ca7e
02_stage2_governance_theme_dataset/tables/Stage2_PilotPass2_Candidate_Review_Queue.csv,stage2_pilot_pass2_candidate_review_queue.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,7702610,73fc8ad7c5e03d018a056f7c8dd288149e2451ef10d01232df825907d72c4f69
02_stage2_governance_theme_dataset/tables/Stage2_PilotPass2_Decision_Template.csv,stage2_pilot_pass2_decision_template.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,8159920,a099e9d80c9486972549289c717da05abd49f4644b7fde9d52e91028506dabfe
02_stage2_governance_theme_dataset/tables/Stage2_Run_Log.csv,run_log.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,1601,aeee077a2b37d28f9ccb5e15f2a228f467f947380b53802889fffe6b803769b2
02_stage2_governance_theme_dataset/tables/Stage2_Seed_Themes_26.csv,stage2_seed_themes_26.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,424,3e332763eaeefdf443acbe716e7f037444446f660fcef9be9632943a61b6b157
02_stage2_governance_theme_dataset/tables/Stage2_Stoplist_Terms.csv,stage2_stoplist_terms.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,8324,1a3e699b34aadca1cf64a6fcdd5081dd684e774a923eead324c8ea871c29adc7
02_stage2_governance_theme_dataset/tables/Stage2_Synonym_Candidate_Pool.csv,stage2_synonym_candidate_pool.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,423907,67794cf0c14ec19e0f69ad58361881aa2abd84699345658c728ad9243e58bd97
02_stage2_governance_theme_dataset/tables/Stage2_Synonym_Shortlist_Compiled_Validated.csv,stage2_synonym_shortlist_compiled_validated.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,163456,aab48682550c09c59bb0e1511dac17577597baf2b318dd0e107c880885b3a6f8
02_stage2_governance_theme_dataset/tables/Stage2_Table_3B_Synonym_Dictionary.csv,stage2_dictionary_tableB.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,26063,4f9fb84c70fe1927b6498047a037f997021f84c87ae9b0daaa0474870347a800
02_stage2_governance_theme_dataset/tables/Stage2_Table_3_4_Governance_Theme_Dataset_Summary.csv,stage2_summary_stats.csv,Stage 2,Governance Theme Dataset,Stage 2 table copied from archived rebuild and renamed for navigability.,csv,651,238d69efc7eb61ca49531ae3c9a5cb7b31ed40febc8c1778320e51ae5ff05b14
03_stage3_reduction_and_taxonomy/README_Stage3_Bundle.md,README.md,Stage 3,Governance Attribute Taxonomy,Original README for Stage 3 bundle.,md,1432,f87fad788093506a97a087b3c3284b92867038e9d8b7df6abb0506fab29a469b
03_stage3_reduction_and_taxonomy/code/stage3_run.py,stage3_run.py,Stage 3,Governance Attribute Taxonomy,Stage 3 Python reduction script.,py,14656,70c7912a05868b63a3073e51b314359df0297e4d4e031632abdafc003d2c60f0
03_stage3_reduction_and_taxonomy/config/category_to_attributes.csv,category_to_attributes.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 configuration/crosswalk file.,csv,189,6858a782f4ebdc54e6a8814c745d54e0b03c8d11052765f925a420982a30698e
03_stage3_reduction_and_taxonomy/config/construct_to_attributes.csv,construct_to_attributes.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 configuration/crosswalk file.,csv,766,ae52883fef4a9bfc26bacf8c00d30155e902e88541044887d64c31e4d948413e
03_stage3_reduction_and_taxonomy/config/step1_theme_to_concept56.csv,step1_theme_to_concept56.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 configuration/crosswalk file.,csv,3367,f9d79482064e7197a07bfc616e0b8404b93a2f7f09b99387eef0ae6a1f6490e2
03_stage3_reduction_and_taxonomy/config/step3_concept56_to_construct22.csv,step3_concept56_to_construct22.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 configuration/crosswalk file.,csv,2738,199866f363c225c8edf3012cd88ffa62abe3cbfe27564c2ac5b8c5d64465f10d
03_stage3_reduction_and_taxonomy/config/step4_construct22_to_category5.csv,step4_construct22_to_category5.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 configuration/crosswalk file.,csv,1165,b2bf70791bdcf3112c1a1cc12faf82a2256b749f2a0a89e21a28a09a39441d72
03_stage3_reduction_and_taxonomy/environment/requirements.txt,requirements.txt,Stage 3,Governance Attribute Taxonomy,Stage 3 software requirements.,txt,98,f285d4a69513856f30a06785b84b2d4a6a5915cdbfc1fe54091efeab5c625721
03_stage3_reduction_and_taxonomy/figures/Figure_3_4_Stage3_Workflow_Python_v1.png,Figure_3_4_Stage3_Workflow_Python_v1.png,Stage 3,Governance Attribute Taxonomy,Stage 3 workflow or diagnostic figure.,png,154110,8d76c6811d185f0be49eff994fce0290d9620275f7bde49a931c0839d3b75b8c
03_stage3_reduction_and_taxonomy/figures/Figure_3_4_Stage3_Workflow_Python_v1.svg,Figure_3_4_Stage3_Workflow_Python_v1.svg,Stage 3,Governance Attribute Taxonomy,Stage 3 workflow or diagnostic figure.,svg,59598,9e7a1691c4493bca9ab3ef411cc3afc701be4523b8df7e33d7202d01f480d7b3
03_stage3_reduction_and_taxonomy/figures/Figure_3_4b_Stage3_ReductionPath_Python_v1.png,Figure_3_4b_Stage3_ReductionPath_Python_v1.png,Stage 3,Governance Attribute Taxonomy,Stage 3 workflow or diagnostic figure.,png,67650,2a3f106dfc93bf63bb8fbbd0d657d44abf4cc9c9fd717c5edd17da7e95b23a58
03_stage3_reduction_and_taxonomy/figures/Figure_3_4b_Stage3_ReductionPath_Python_v1.svg,Figure_3_4b_Stage3_ReductionPath_Python_v1.svg,Stage 3,Governance Attribute Taxonomy,Stage 3 workflow or diagnostic figure.,svg,23391,e00f668e59a2413b335ffb815c0023ccd1e89d24fcdb45f2b28257ec1e0bc0f2
03_stage3_reduction_and_taxonomy/figures/Figure_7_ConstructCooccurrence_NPMI_v1.png,Figure_7_ConstructCooccurrence_NPMI_v1.png,Stage 3,Governance Attribute Taxonomy,Stage 3 workflow or diagnostic figure.,png,473906,44d1e77c00c393e58ce2247fb3300a73cd6e5de99e3eac4af5bdd4b3e49c51fd
03_stage3_reduction_and_taxonomy/figures/Figure_7_ConstructCooccurrence_NPMI_v1.svg,Figure_7_ConstructCooccurrence_NPMI_v1.svg,Stage 3,Governance Attribute Taxonomy,Stage 3 workflow or diagnostic figure.,svg,65053,b0d865d097d0b843cfb143e924f26f4b8a7a7c97f1aa459e53872795e0646225
03_stage3_reduction_and_taxonomy/tables/Stage3_ConstructCooccurrence_Edges_NPMI.csv,Stage3_ConstructCooccurrence_Edges_NPMI.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,5716,ad3e778cba3eee3670f670847486528c59eda6d09f927a716c93205d5c533252
03_stage3_reduction_and_taxonomy/tables/Stage3_ConstructCooccurrence_Nodes.csv,Stage3_ConstructCooccurrence_Nodes.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,1270,dbfc3e6771417eb1ed6d1d46beb0aa6f56bb7ace53a7ee143703deaae979bd7b
03_stage3_reduction_and_taxonomy/tables/Stage3_Decision_and_Computation_Log.csv,Stage3_Decision_and_Computation_Log.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,2265,15f92a922bd171410055440c3387c2f3a89b7dcaffd56238e95ffbd270f6c91b
03_stage3_reduction_and_taxonomy/tables/Stage3_Methods_Rewrite_Python_v1.docx,Stage3_Methods_Rewrite_Python_v1.docx,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,docx,40552,479eec71ab358b932c126aeb7cb632a1b68d26b01db14b29573b54d63f25819d
03_stage3_reduction_and_taxonomy/tables/Stage3_Python_NLP_Reduction_BUNDLE_v1.xlsx,Stage3_Python_NLP_Reduction_BUNDLE_v1.xlsx,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,xlsx,149133,a308eb7e06d7ba716889af39fbf1a40f0c4a44f4acdca8d0ff7de4e84e106297
03_stage3_reduction_and_taxonomy/tables/Stage3_Run_Environment.csv,Stage3_Run_Environment.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,157,c26c9b08e386d186dbb7d92f74c70d5c99e0afc3ce7495d2ec26e00293e5e33b
03_stage3_reduction_and_taxonomy/tables/Stage3_Run_Metadata.csv,Stage3_Run_Metadata.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 run/decision log.,csv,364,130b6bcf225479b391a548db30a8cb71bb2812230d20dc905f83bb7c01ce55f8
03_stage3_reduction_and_taxonomy/tables/Stage3_Step1_MergeDiagnostics_Similarity.csv,Stage3_Step1_MergeDiagnostics_Similarity.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,4239,563a6fe1897bd1f1ea472ab19475cc64473d00197ae7364a8ef75f43828fe7de
03_stage3_reduction_and_taxonomy/tables/Stage3_Step3_MergeDiagnostics_NPMI.csv,Stage3_Step3_MergeDiagnostics_NPMI.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,1775,b1f79ec0bc56d79cd0c7256f5c55df985efcc1fc0f20e1271018e73cbcd7609e
03_stage3_reduction_and_taxonomy/tables/Table_C2_Construct_to_Attribute_Map.csv,Table_C2_Construct_to_Attribute_Map.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,1296,9f5c00a04ad7d126e2030bd81229912e26f67e2c1b7642c9e7618030322f74c4
03_stage3_reduction_and_taxonomy/tables/Table_C_Category_to_Attribute_Crosswalk.csv,Table_C_Category_to_Attribute_Crosswalk.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,189,6858a782f4ebdc54e6a8814c745d54e0b03c8d11052765f925a420982a30698e
03_stage3_reduction_and_taxonomy/tables/Table_D2_Attribute_Derivation_Ledger.csv,Table_D2_Attribute_Derivation_Ledger.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,4893,72b4d166cae687705dee1d063f79ab5fcb24a55fbd732ca3bcec6d563e7e9e20
03_stage3_reduction_and_taxonomy/tables/Table_E2_Construct_Metrics_and_Coherence.csv,Table_E2_Construct_Metrics_and_Coherence.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,2011,26379526bfba15b25b895bc206916c4f4a7490af2bfb02f77da899c00835edfd
03_stage3_reduction_and_taxonomy/tables/Table_E3_Category_Induction_Evidence.csv,Table_E3_Category_Induction_Evidence.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,1725,5b0fd597cc6105543c7c26c8b6afa843307169eae26210f1a502351171ce986c
03_stage3_reduction_and_taxonomy/tables/Table_E_Stage3_Reduction_Ledger.csv,Table_E_Stage3_Reduction_Ledger.csv,Stage 3,Governance Attribute Taxonomy,Stage 3 output table.,csv,33831,ef24cdf9361dbe9e7079789355ae24dd992f62a32af4bec2f3096f7789526463
03_stage3_reduction_and_taxonomy/workbooks/Attribute_Framework_Validation_Table_v1.xlsx,Attribute_Framework_Validation_Table_v1.xlsx,Stage 3,Governance Attribute Taxonomy,Attribute-to-framework validation table for nine-attribute taxonomy.,xlsx,7678,2c2f1750393f96e58570774a66e6dd444c7652d5fe28304a9a118e474473d656
03_stage3_reduction_and_taxonomy/workbooks/Stage3_Normalisation_Results_Table_v1.xlsx,Stage3_Normalisation_Results_Table_v1.xlsx,Stage 3,Governance Attribute Taxonomy,Stage 3 normalisation results table documenting the 80 to 56 reduction.,xlsx,8405,caa3effe563f4520d99917cdc7ab09a6cfc1ee446d86f907c5eb423ffa77dbd9
03_stage3_reduction_and_taxonomy/workbooks/Stage3_Python_NLP_Reduction_BUNDLE_v1.xlsx,Stage3_Python_NLP_Reduction_BUNDLE_v1.xlsx,Stage 3,Governance Attribute Taxonomy,Consolidated Stage 3 Python reduction workbook from the archived bundle.,xlsx,134835,4ee7e4d0caf0756e6958374fe4a0d24c0fd2bb97bfcabf8fc79d04a70ef81840
03_stage3_reduction_and_taxonomy/workbooks/Stage3_Reduction_Ledger_COMPLETE_v1.xlsx,Stage3_Reduction_Ledger_COMPLETE_v1.xlsx,Stage 3,Governance Attribute Taxonomy,Complete Stage 3 reduction ledger showing 80 themes to 56 concepts to 31 salient concepts to 22 constructs to 5 categories.,xlsx,38972,0dd7792cd2ccff14ad460f5a2e2f798d7ed548cc9a924dac44435cfd55963a73
03_stage3_reduction_and_taxonomy/workbooks/Stage3_Reduction_Results_Tables_v1.xlsx,Stage3_Reduction_Results_Tables_v1.xlsx,Stage 3,Governance Attribute Taxonomy,Stage 3 reduction result tables for chapter summary and construct/category diagnostics.,xlsx,13625,563e9b3f2067f7c51347ef8bd50f64403ac79c2bc93ee55c51c757e6d4a58688
04_chapter_figures/Figure_2_Theme_Reduction_Flow_v2.png,Figure_2_Theme_Reduction_Flow_v2.png,Figure,Chapter 3 figures,Figure previously generated for Chapter 3 methods/diagnostics.,png,137092,f008323770bbea5e2bd67e20588f7b4b3f7cc02bbd042d83f34590ab2a376a74
04_chapter_figures/Figure_3_3_Stage2_Workflow_Python_v2.png,Figure_3_3_Stage2_Workflow_Python_v2.png,Figure,Chapter 3 figures,Figure previously generated for Chapter 3 methods/diagnostics.,png,497815,934f62b21bb4344f959712eaadd92c53b84cf7955cee5114a0d0e8ec73f9a1da
04_chapter_figures/Figure_3_3_Stage2_Workflow_Python_v2.svg,Figure_3_3_Stage2_Workflow_Python_v2.svg,Figure,Chapter 3 figures,Figure previously generated for Chapter 3 methods/diagnostics.,svg,128522,c95d02339468785a2035b532b8255a483fc5d84a30c8c29d48d127f4f4b220f2
04_chapter_figures/Figure_3_4_Stage3_Workflow_Python_v1.png,Figure_3_4_Stage3_Workflow_Python_v1.png,Figure,Chapter 3 figures,Figure previously generated for Chapter 3 methods/diagnostics.,png,154110,8d76c6811d185f0be49eff994fce0290d9620275f7bde49a931c0839d3b75b8c
04_chapter_figures/Figure_3_4b_Stage3_ReductionPath_Python_v1.png,Figure_3_4b_Stage3_ReductionPath_Python_v1.png,Figure,Chapter 3 figures,Figure previously generated for Chapter 3 methods/diagnostics.,png,67650,2a3f106dfc93bf63bb8fbbd0d657d44abf4cc9c9fd717c5edd17da7e95b23a58
04_chapter_figures/Figure_7_ConstructCooccurrence_NPMI_v1.png,Figure_7_ConstructCooccurrence_NPMI_v1.png,Figure,Chapter 3 figures,Figure previously generated for Chapter 3 methods/diagnostics.,png,473906,44d1e77c00c393e58ce2247fb3300a73cd6e5de99e3eac4af5bdd4b3e49c51fd
README.md,README.md,Archive,Archive documentation,Project-level guide to the reconciled Chapter 3 data archive.,md,4391,7089f3ba54193cab715427f18789210a7aa7dcf2d2a94a6fd9b08b5aac3efb85
