attribute_family,attribute_family_label,category_label,category_slug,tier_weight,example_triggers,schema_status
strategies,Strategies,"Collaboration, Partnerships & Networks",collaboration_partnerships_and_networks,0,coordination | collaboration | partnerships | Network | networks | Platform | network | partnership | Partnership | forum | platform,Canonical analysis schema reconstructed from verified family workbooks
strategies,Strategies,"Monitoring, Evaluation & Accountability",monitoring_evaluation_and_accountability,0,indicators | Reporting | monitoring | performance | accountability | reporting | audit | evaluation | Evaluation | Results Framework,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,UN System Collaboration,un_system_collaboration,0,UNESCO | WMO | unesco | United Nations | UNEP | unep | FAO | IMO | fao | imo | UNDP | UN agencies | WHO | UN system | undp | UNICEF | unicef | who | wmo | UN-Women | un-women | UN System,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,Regional Body Coordination,regional_body_coordination,0,regional organizations | African Union | au | OAS | EU | ASEAN | ECOWAS,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,NGO Engagement,ngo_engagement,0,NGOs | non-governmental | international NGOs | NGO,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,Private Sector Partnerships,private_sector_partnerships,0,private sector | Private Sector | Business | business | industry | corporate,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,Scientific Community Linkages,scientific_community_linkages,0,academia | research institutions | University,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,Treaty Body Coordination,treaty_body_coordination,0,Secretariat | secretariat | treaty bodies | Conference of the Parties | COP | cop,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,Donor Partnerships,donor_partnerships,0,GEF | World Bank | gef | donor | trust funds | Trust Fund | IFAD | development partners | ifad | GCF | trust fund | donors,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,Civil Society Engagement,civil_society_engagement,0,civil society,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,Intergovernmental Consultations,intergovernmental_consultations,0,intergovernmental | Intergovernmental | Ministerial,Canonical analysis schema reconstructed from verified family workbooks
defined_interinstitutional_relationships,Inter-Institutional Relationships,Technical or Expert Groups,technical_or_expert_groups,0,Task Force | Scientific and Technical Advisory,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,UN to Member States,un_to_member_states,0,Member States | United Nations | UN system | member states | member States | Member states | resident coordinator,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Global–Regional–National Coordination,global_regional_national_coordination,0,,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Intergovernmental to National Institutions,intergovernmental_to_national_institutions,0,,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Technical Assistance to States,technical_assistance_to_states,0,technical cooperation | technical assistance | capacity building | Technical Cooperation | training | technical support | Training | Capacity Building | Technical Support | Technical Assistance | capacity development,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Policy Alignment with National Plans,policy_alignment_with_national_plans,0,,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Regional Implementing Partners,regional_implementing_partners,0,Subregional | sub-regional | regional bodies | subregional,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Reporting & Compliance Mechanisms,reporting_and_compliance_mechanisms,0,Reporting | monitoring | review mechanism | reporting | Compliance | compliance | Monitoring,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Multi-level Planning Structures,multi_level_planning_structures,0,Multilevel governance,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Data Integration Systems,data_integration_systems,0,,Canonical analysis schema reconstructed from verified family workbooks
vertical_coordination,Vertical Coordination,Sectoral-to-National Coordination,sectoral_to_national_coordination,0,,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Cross-sectoral Collaboration,cross_sectoral_collaboration,0,intersectoral,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Thematic Working Groups,thematic_working_groups,0,,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Joint Research and Projects,joint_research_and_projects,0,Joint research,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Shared Monitoring Frameworks,shared_monitoring_frameworks,0,,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Multi-stakeholder Platforms,multi_stakeholder_platforms,0,stakeholder platforms,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Inter-agency Technical Cooperation,inter_agency_technical_cooperation,0,inter-agency cooperation | inter-agency coordination | Interagency Task Force | Inter-Agency Task Force | Inter-Agency Cooperation | Inter-Agency Coordination,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Regional Economic Community Coordination,regional_economic_community_coordination,0,EU,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Advocacy and Communication,advocacy_and_communication,0,Advocacy | communication | campaigns | awareness | communications | advocacy | campaign | Outreach | outreach | Communication,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Cross-border Initiatives,cross_border_initiatives,0,,Canonical analysis schema reconstructed from verified family workbooks
horizontal_coordination,Horizontal Coordination,Peer-to-peer Learning Mechanisms,peer_to_peer_learning_mechanisms,0,peer learning | knowledge exchange,Canonical analysis schema reconstructed from verified family workbooks
